N_id,crime_a,mvar_1,mvar_2,mvar_3,mvar_4,mvar_5,mvar_6,mvar_7,mvar_8,mvar_9,mvar_10,mvar_11,mvar_12,mvar_13,mvar_14,mvar_15,mvar_16,mvar_17,mvar_18,mvar_19,mvar_20,mvar_21,mvar_22,mvar_23,mvar_24,mvar_25,mvar_26,mvar_27,mvar_28,mvar_29,mvar_30,mvar_31,mvar_32,mvar_33,mvar_34,mvar_35,mvar_36,mvar_37,mvar_38,mvar_39,mvar_40
SID_1,Crime 2,47.38045319,0,,4,0,13,9,132.8591932,1,0,0,,12,0,,0,,0.02173913,3.526928226,60.000006,0,2,1,599.3698363,30,,0,0,0,2.500454952,0.109346317,38.39807713,0,4.149212049,1,0,7.623923538,50.58087131,,24
SID_2,Crime 2,8.386340215,0,,2,0,0,5,56.49767716,2,0,4,164.2004773,2,0,0,0,0,0.010869565,,200.00002,0,4,6,,0,0,,0,8,,,382.2309019,0,,4,0,0,,0,0
SID_3,Crime 2,1080.132192,0,,4,0,1,3,8.169784007,1,0,4,191.8854415,2,0,1,22.22222222,0,0.004347826,,124.0000124,0,0,0,317.1453742,0,127.2374583,,1,4,19.90353424,9.661974463,868.3974416,0,,1,1,1104.801124,55.07347979,252.4810829,0
SID_4,Crime 2,,,,8,2,3,10,45.12832078,4,,4,,5,0,,0,,,,300.00003,,1,8,,0,,,,,,,0,0,,1,,,,,0
SID_5,Crime 2,9.476090639,0,,3,1,1,1,46.42633101,0,0,1,,9,0,,0,,0.02173913,20.41499331,112.0000112,0,2,4,341.9074755,0,,0,0,0,13.83734718,0.064061903,2.575279463,0,,1,0,6.789187384,53.07961943,,1
SID_8,Crime 2,,,,2,0,2,4,61.84214055,0,0,4,,2,0,,0,,,,88.0000088,,2,17,,0,,,0,2,,,0,0,,2,0,,,,11
SID_9,Crime 2,,,,3,,1,2,68.68576329,0,,4,,2,0,,,,,,100.00001,,0,5,,,,,,,,,,0,,3,,,,,11
SID_10,Crime 2,,0,,2,,4,9,32.95467718,1,0,4,297.8520286,7,1,0,0,0,0.02173913,,130.000013,0,2,0,783.8157446,30,18.388221,0,,0,,0.01408497,0,0,,1,,1.669472308,50.12518778,611.4300924,0
SID_11,Crime 2,,,,3,0,1,1,191.1802636,1,0,0,127.9236277,9,0,0,0,0,0.016304348,,200.00002,0,1,2,,0,0,,0,1,,,224.4455101,1,,4,0,,,0,8
SID_12,Crime 2,618.6939578,1,,2,0,8,1,80.7301456,4,0,2,184.24821,10,0,1,33.33333333,0,0.014130435,,140.000014,0,1,2,320.6374654,0,104.095393,0,2,2,19.90620103,2.185152668,326.1360325,1,40.65426989,0,1,274.2386511,55.08262394,276.816609,2
SID_13,Crime 2,,,,1,1,2,1,78.89583871,3,0,5,45.82338902,2,0,0,0,0,,,18.0000018,,0,15,,0,0,,0,2,,,77.45648232,0,,1,0,,,0,0
SID_14,Crime 2,199.471708,0,,1,0,6,7,89.98591367,1,0,4,218.6157518,5,0,0,0,0,0.013043478,,140.000014,0,2,10,,0,7.889625519,,1,1,,0.765335533,269.8760812,1,0,2,0,96.05030677,53.314062,16.73067417,0
SID_15,Crime 2,11.8451133,,,1,1,3,6,45.21968032,4,0,0,57.27923628,2,0,0,0,0,0.130434783,,160.000016,0,3,2,,0,0.677328741,,1,1,,,44.57214456,0,,1,0,,,0,0
SID_16,Crime 2,,,,1,1,3,9,1.021576222,4,0,1,130.7875895,12,0,0,0,0,0.02173913,,112.0000112,0,3,12,,0,0,,,0,,,0,1,,0,,,,0,0
SID_17,Crime 2,,0,,2,0,2,0,154.2374202,2,0,4,149.8806683,7,0,0,5.555555556,0,0.027173913,5.354752343,200.00002,0,3,7,,0,0,,0,1,,0.029265438,49.65667068,0,7.660083782,1,,4.897118769,51.49390753,0,26
SID_18,Crime 2,47.38045319,0,,2,0,9,3,63.67993062,1,0,0,234.8448687,9,1,0,0,266.6666667,0.02173913,,80.000008,0,1,5,317.1453742,30,72.67486527,0,0,0,16.21529251,0.905233192,31.66273084,0,,1,0,75.73839369,55.12769154,0,13
SID_19,Crime 2,923.9188373,0,,4,0,1,7,75.11850714,2,0,4,315.9904535,1,0,0,0,0,0,,280.000028,0,2,3,823.1811364,30,96.61969057,,1,2,19.31331688,2.271230745,632.5612723,1,,2,0,506.7404944,54.28657004,0,
SID_20,Crime 2,47.38045319,0,,5,0,5,7,63.11664479,2,0,1,256.8019093,6,0,0,5.555555556,0,0.02173913,0.446229362,160.000016,0,1,5,359.0504687,30,21.82503721,0,0,0,19.69890668,0.367148216,180.0054312,1,0.638340315,1,0,51.19715077,54.37155734,200.76809,6
SID_21,Crime 2,,0,,2,0,2,5,139.6529936,4,0,6,76.37231504,0,0,0,0,0,0.02173913,,104.0000104,0,1,8,323.4946309,0,0,0,0,1,22.65240566,5.531611107,0,0,,0,0,555.3777877,55.0225338,0,0
SID_24,Crime 2,380.4650392,0,,0,0,3,9,95.60854742,2,0,2,267.3031026,0,0,0,5.555555556,200,0.02173913,25.46184739,260.000026,0,2,9,435.2415495,30,48.45409122,0,1,3,15.37442012,1.307100859,77.15933469,0,,0,0,273.4039149,53.83475213,223.5826457,2
SID_25,Crime 2,,,,5,0,3,9,83.05165806,2,,4,19.09307876,2,0,,0,,,,62.40000624,,1,14,,0,,,0,,,,0,0,,0,,,,,14
SID_26,Crime 2,2.36902266,,2272.44292,5,2,4,11,78.39023287,2,0,0,108.8305489,9,0,0,5.555555556,0,0.032608696,,80.000008,0,3,6,,0,0,1,1,1,,,368.8262421,1,,1,0,,,0,3
SID_30,Crime 2,123.5682219,0,,5,0,3,5,17.37928203,1,0,1,188.0668258,15,0,0,5.555555556,0,0.027173913,,128.0000128,0,0,20,317.1453742,0,0.740044365,0,0,1,22.87959789,0.478888978,98.65301328,0,0,1,0,56.09426954,55.07260891,54.75493365,4
SID_31,Crime 2,120.8201556,0,,2,0,1,4,29.16144766,2,,1,272.0763723,2,1,0,0,0,0.014492754,0,88.0000088,0,4,5,,30,23.60616093,,0,,,0.505701772,256.5374542,0,12.73018022,2,,45.13140138,51.87503477,120.15666,3
SID_34,Crime 2,,,,5,,5,0,54.67435083,1,,5,,9,1,,,,,,4.80000048,,1,5,,,,,,,,,,0,,4,,,,,2
